 zwyciezca: Gracz Bialy, iloscia 1pionkow. mecz odbyl sie: Sun Dec  1 17:29:42 2019
 zwyciezca: Gracz Bialy, iloscia 1pionkow. mecz odbyl sie: Sun Dec  1 17:29:54 2019
 zwyciezca: Gracz Bialy, iloscia 12pionkow. mecz odbyl sie: Sun Dec  1 21:01:01 2019
 zwyciezca: Gracz Czarny, iloscia 0pionkow.mecz odbyl sie: Sun Dec  1 21:22:41 2019
 zwyciezca: Gracz Bialy, iloscia 11pionkow. mecz odbyl sie: Sun Dec  1 21:28:41 2019
 zwyciezca: Gracz Czarny, iloscia 12pionkow.mecz odbyl sie: Sun Dec  1 21:30:40 2019
 zwyciezca: Gracz Czarny, iloscia 12pionkow.mecz odbyl sie: Sun Dec  1 21:30:53 2019
 zwyciezca: Gracz Bialy, iloscia 12pionkow. mecz odbyl sie: Sun Dec  1 21:39:22 2019
 zwyciezca: Gracz Bialy, iloscia 12pionkow. mecz odbyl sie: Sun Dec  1 21:41:17 2019
 zwyciezca: Gracz Bialy, iloscia 12pionkow. mecz odbyl sie: Sun Dec  1 21:53:52 2019
 zwyciezca: Gracz Bialy, iloscia 12pionkow. mecz odbyl sie: Sun Dec  1 21:55:26 2019
 zwyciezca: Gracz Bialy, iloscia 12pionkow. mecz odbyl sie: Sun Dec  1 21:56:44 2019
 zwyciezca: Gracz Bialy, iloscia 12pionkow. mecz odbyl sie: Sun Dec  1 22:09:01 2019
 zwyciezca: Gracz Bialy, iloscia 12pionkow. mecz odbyl sie: Sun Dec  1 22:10:18 2019
 zwyciezca: Gracz Czarny, iloscia 0pionkow.mecz odbyl sie: Sun Dec  1 22:12:26 2019
 zwyciezca: Gracz Czarny, iloscia 0pionkow.mecz odbyl sie: Sun Dec  1 22:13:51 2019
 zwyciezca: Gracz Bialy, iloscia 12pionkow. mecz odbyl sie: Sun Dec  1 22:16:01 2019
 zwyciezca: Gracz Bialy, iloscia 12pionkow. mecz odbyl sie: Sun Dec  1 22:19:56 2019
 zwyciezca: Gracz Bialy, iloscia 12pionkow. mecz odbyl sie: Sun Dec  1 22:22:52 2019
 zwyciezca: Gracz Bialy, iloscia 12pionkow. mecz odbyl sie: Sun Dec  1 22:23:58 2019
 zwyciezca: Gracz Bialy, iloscia 12pionkow. mecz odbyl sie: Sun Dec  1 22:25:01 2019
 zwyciezca: Gracz Bialy, iloscia 12pionkow. mecz odbyl sie: Sun Dec  1 22:26:16 2019
 zwyciezca: Gracz Bialy, iloscia 12pionkow. mecz odbyl sie: Sun Dec  1 22:26:56 2019
 zwyciezca: Gracz Bialy, iloscia 12pionkow. mecz odbyl sie: Sun Dec  1 22:30:04 2019
 zwyciezca: Gracz Bialy, iloscia 12pionkow. mecz odbyl sie: Sun Dec  1 22:30:11 2019
 zwyciezca: Gracz Bialy, iloscia 12pionkow. mecz odbyl sie: Sun Dec  1 23:00:09 2019
 zwyciezca: Gracz Bialy, iloscia 12pionkow. mecz odbyl sie: Sun Dec  1 23:00:17 2019
 zwyciezca: Gracz Bialy, iloscia 12pionkow. mecz odbyl sie:  zwyciezca: Gracz Bialy, iloscia 12pionkow. mecz odbyl sie:  zwyciezca: Gracz Bialy, iloscia 12pionkow. mecz odbyl sie:  zwyciezca: Gracz Bialy, iloscia 12pionkow. mecz odbyl sie: 
